timestamps,TP9,AF7,AF8,TP10,Right AUX
1671211472.774,-4.883,-64.941,40.039,-7.324,-56.152,0
1671211472.778,-61.035,-72.266,38.574,-5.859,21.484,0
1671211472.782,-79.590,-81.543,45.898,-11.230,205.566,0
1671211472.785,-36.133,-80.566,49.316,-12.207,118.652,0
1671211472.789,14.160,-78.125,49.805,-0.977,-125.977,0
1671211472.793,7.324,-76.172,56.641,16.602,-104.980,0
1671211472.797,-37.109,-71.289,58.594,17.090,-22.461,0
1671211472.801,-57.129,-69.824,42.969,4.883,-92.285,0
1671211472.816,-14.648,-64.453,34.180,0.000,-205.078,0
1671211472.820,41.504,-54.199,41.016,12.207,-141.602,0
1671211472.824,40.039,-52.734,42.480,28.320,66.895,0
1671211472.828,-15.137,-58.105,34.180,22.949,80.078,0
1671211472.832,-52.246,-60.547,33.691,9.766,-60.059,0
1671211472.836,-23.438,-59.082,37.598,5.859,-79.102,0
1671211472.840,26.367,-53.223,29.785,13.184,294.922,0
1671211472.843,29.785,-48.340,24.902,20.996,335.938,0
1671211472.847,-21.973,-48.340,20.020,16.602,17.090,0
1671211472.851,-60.547,-45.898,18.555,6.836,-30.273,0
1671211472.855,-39.551,-43.457,20.996,-9.277,-51.270,0
1671211472.859,15.137,-43.945,15.625,-6.348,-94.238,0
1671211472.847,35.645,-36.133,20.508,12.207,-83.008,0
1671211472.851,-6.836,-23.438,24.902,12.695,-21.973,0
1671211472.855,-53.223,-30.273,14.648,-11.719,-36.133,0
1671211472.859,-38.574,-34.668,6.836,-17.578,-116.211,0
1671211472.863,19.043,-30.273,1.465,-10.742,-101.562,0
1671211472.867,31.738,-32.227,-0.977,-7.324,83.008,0
1671211472.871,-14.160,-36.133,-0.977,-4.395,93.750,0
1671211472.874,-67.383,-36.621,-2.930,-15.625,-21.484,0
1671211472.878,-66.406,-36.133,-1.953,-24.902,-99.121,0
1671211472.882,-4.883,-34.668,-2.441,-12.207,101.074,0
1671211472.886,25.391,-31.250,-4.883,-5.859,202.148,0
1671211472.890,-10.742,-29.785,-8.789,-10.254,-27.344,0
1671211472.905,-58.594,-27.344,-10.742,-15.625,-107.910,0
1671211472.909,-62.500,-31.738,-18.066,-27.832,-24.414,0
1671211472.913,-13.184,-36.133,-14.160,-22.949,33.691,0
1671211472.917,14.648,-32.715,-4.883,-17.090,-74.707,0
1671211472.921,-11.230,-31.738,-3.418,-10.254,-23.926,0
1671211472.925,-52.246,-32.227,-6.348,-0.488,299.316,0
1671211472.929,-65.918,-28.320,-17.090,-20.996,147.949,0
1671211472.932,-21.484,-30.273,-18.066,-34.180,-131.836,0
1671211472.936,24.414,-28.320,-12.207,-12.207,41.016,0
